GDP,Əhalinin_nominal_gəlirləri,Oil_Price,Portfel,Müştəri_sayı,GDP^2,GDP Əhalinin_nominal_gəlirləri,GDP Oil_Price,GDP Portfel,GDP Müştəri_sayı,Əhalinin_nominal_gəlirləri^2,Əhalinin_nominal_gəlirləri Oil_Price,Əhalinin_nominal_gəlirləri Portfel,Əhalinin_nominal_gəlirləri Müştəri_sayı,Oil_Price^2,Oil_Price Portfel,Oil_Price Müştəri_sayı,Portfel^2,Portfel Müştəri_sayı,Müştəri_sayı^2,Nağd_pul_kredit_satışı
17928100.0,13442500.0,0.0857479999999999,359233.76244,25304.0,321416769610000.0,240998484250000.0,1537298.718799998,6440378816400.564,453652642400.0,180700806250000.0,1152667.4899999986,4828999851599.7,340149020000.0,0.007352719503999982,30803.576661705083,2169.7673919999975,129048896076.79837,9090051124.781761,640292416.0,46642841.49
16450600.0,13935300.0,0.0498836666666666,349405.74088,16316.0,270622240360000.0,229244046180000.0,820616.2468666655,5747934080920.528,268407989600.0,194192586090000.0,695143.860099999,4869073820885.064,227368354800.0,0.002488380200111104,17429.6395094776,813.9019053333323,122084371759.9017,5700904068.19808,266211856.0,15709384.47
17965600.00000001,14231200.0,0.0730376666666666,366496.28305,32598.0,322762783360000.4,255672046720000.16,1312165.5042666662,6584325622763.085,585642628800.0004,202527053440000.0,1039413.6418666657,5215681903341.16,463908657600.0,0.005334500752111101,26768.033355978194,2380.881857999998,134319525489.46574,11947045834.863901,1062629604.0,51257547.76999999
20233800.0,14117100.0,0.075293,337946.33647,28564.0,409406662440000.0,285642577980000.0,1523463.5034,6837938582866.686,577958263200.0,199292512410000.0,1062918.8103,4770822226580.637,403240844400.0,0.005669035849,25444.99351183571,2150.669252,114207726333.49445,9653099154.92908,815902096.0,26391997.72
19181900.0,13455900.0,0.103394,355393.13544,39842.0,367945287610000.0,258109728210000.0,1983293.3686,6817115584696.536,764245259800.0,181061244810000.0,1391259.3246,4782134491167.096,536109967800.0,0.010690319236,36745.51784568336,4119.423748,126304280717.87418,14159573302.20048,1587384964.0,53293774.11
21581800.0,14124800.0,0.1170166666666667,389933.88746,49708.0,465774091240000.0,304838608640000.0,2525430.2966666673,8415475172384.228,1072788114400.0,199509975040000.0,1652837.013333334,5507738173595.008,702115558400.0,0.013692900277777786,45628.763730944345,5816.664466666668,152048436589.66794,19382833677.86168,2470885264.0,74915814.85
23125300.0,14671000.0,0.124899,409561.79125,48616.0,534779500090000.0,339271276300000.0,2888326.8447,9471239291193.625,1124259584800.0,215238241000000.0,1832393.229,6008681039428.75,713245336000.0,0.015599760200999999,51153.858165333746,6072.089784,167740860851.90857,19911256043.41,2363515456.0,71351558.51
29314200.0,14929800.0,0.1352973333333333,413861.2881600001,53615.0,859322321640000.0,437655143160000.0,3966133.088799999,12132012573379.875,1571680833000.0,222898928040000.0,2019962.1271999995,6178866259971.17,800461227000.0,0.0183053684071111,55994.328657946244,7253.966526666664,171281165837.45465,22189172964.698406,2874568225.0,78919643.58000001
30037000.0,16000500.0,0.1705043333333333,433990.71885,50605.0,902221369000000.0,480607018500000.0,5121438.660333333,13035779222097.45,1520022385000.0,256016000250000.0,2728154.5854999996,6944068496959.425,809705302500.0,0.029071727685444436,73997.29819037335,8628.371788333332,188347944047.93976,21962100327.40425,2560866025.0,72867706.82000001
33327400.0,16959200.0,0.1930236666666666,484832.6392399999,61665.0,1110715590760000.0,565206042080000.0,6432976.948466664,16158211301007.172,2055134121000.0,287614464640000.0,3273526.967733332,8222373695399.006,1045789068000.0,0.03725813589344441,93584.17374578195,11902.804404999995,235062688072.42386,29897204698.734592,3802572225.0,104410820.53
34713400.0,17991800.0,0.1712126666666667,531929.56961,59127.0,1205020139560000.0,624556550120000.0,5943373.783066668,18465083921699.773,2052499201800.0,323704867240000.0,3080424.056133334,9570370430509.197,1063801158600.0,0.029313777227111124,91073.08009178042,10123.291342000002,282949067025.47986,31451399662.33047,3496002129.0,108253864.25
35747999.99999999,17963100.00000001,0.1505463333333333,577534.37497,62920.0,1277919503999999.5,642144898800000.2,5381730.323999998,20645698836427.555,2249264159999.9995,322672961610000.4,2704278.840300001,10374307731023.613,1130238252000.0007,0.022664198480111104,86945.68252569193,9472.375293333333,333545954271.9886,36338462873.112404,3958926400.0,125262020.31
30310600.0,18479900.0,0.1379946666666667,583589.24106,56186.0,918732472360000.0,560136856940000.0,4182701.143466668,17688940050073.24,1703031371600.0,341506704010000.0,2550127.640533334,10784670815864.695,1038311661400.0,0.019042528028444455,80532.2027903277,7753.368341333336,340576402280.9868,32789545098.197163,3156866596.0,76131985.0
29991500.0,19391200.0,0.1331383333333334,617854.0735200001,76558.0,899490072250000.0,581571174800000.0,3993018.324166668,18530370445975.082,2296089257000.0,376018637440000.0,2581712.0493333344,11980931910441.025,1484551489600.0,0.01772581580277779,82260.06159166365,10192.804523333338,381743656165.2577,47301672160.54417,5861127364.0,100794532.0
30510400.0,20147200.0,0.147322,643085.23779,91918.0,930884508160000.0,614699130880000.0,4494853.148800001,19620787839068.016,2804454947200.0,405909667840000.0,2968125.7984,12956366902802.69,1851890329600.0,0.021703771684000003,94740.60340169839,13541.543596000001,413558623063.4209,59111108887.18122,8448918724.0,104918587.42
32193000.0,20031899.99999999,0.1423296666666667,659043.31908,108724.0,1036389249000000.0,644886956699999.6,4582018.959000001,21216581571142.44,3500151732000.0,401277017609999.56,2851133.649699999,13201889863478.646,2177948295599.9988,0.02025773401344445,93801.41592355006,15474.650678666669,434338096423.9827,71653825823.65393,11820908176.0,94647027.24000008
